[CANONICAL] Test A Stage 1 — EURUSD, split 2022-01-01..2024-12-31, TFs: D1, H4, H1, M15
  D1: 938 bars
  H4: 4833 bars
  H1: 18730 bars
  M15: 74770 bars

Stage-1 verdict registry
================================================================================================
tf    event_type                          n   evMFE   ctMFE  effect   hit%  ctHit%        p  verdict
H1    fib_ext_1618_tag                  146   2.322   2.466  -0.143  52.0%   50.0%   0.7806  dead
H1    bullish_ob_touch                  267   2.269   2.387  -0.118  47.6%   45.8%   0.7936  dead
M15   bull_pin                         4144   2.268   2.302  -0.034  44.6%   47.3%   0.7941  dead
H1    choch_bearish                     209   2.454   2.599  -0.145  45.5%   51.0%   0.8011  dead
M15   trendline_break_retest_bearish   1295   2.522   2.587  -0.066  46.7%   47.8%   0.8106  dead
M15   sr_flip_resistance               4635   2.438   2.475  -0.037  46.1%   47.6%   0.8111  dead
M15   shooting_star                    3549   2.286   2.326  -0.041  46.4%   46.4%   0.8126  dead
H1    pwl_touch                         246   2.216   2.354  -0.138  44.3%   48.0%   0.8131  dead
M15   sr_flip_support                  4625   2.357   2.394  -0.037  47.5%   48.1%   0.8386  dead
H1    bearish_ob_touch                  262   2.295   2.452  -0.158  42.0%   47.7%   0.8501  dead
H4    bear_engulfing                    387   2.496   2.611  -0.115  49.9%   48.0%   0.8511  dead
H1    breaker_support_retest            528   2.307   2.408  -0.101  48.7%   49.8%   0.8516  dead
H4    bullish_fvg_touch                 298   2.520   2.664  -0.143  44.3%   49.7%   0.8531  dead
H4    bearish_fvg_touch                 340   2.551   2.683  -0.132  47.6%   50.0%   0.8666  dead
M15   breaker_support_retest           2018   2.376   2.446  -0.070  47.7%   46.8%   0.8716  dead
H1    round_number_touch                460   2.255   2.383  -0.128  48.7%   48.6%   0.8756  dead
H1    trendline_break_retest_bearish    283   2.443   2.629  -0.186  47.3%   48.1%   0.8791  dead
M15   supply_zone_touch                1081   2.448   2.549  -0.102  47.4%   48.2%   0.8841  dead
H1    supply_zone_touch                 274   2.224   2.407  -0.182  47.4%   47.0%   0.9070  dead
H1    bullish_fvg_touch                1068   2.518   2.625  -0.107  47.9%   50.5%   0.9080  dead
H1    hammer                            791   2.584   2.708  -0.124  49.3%   50.3%   0.9080  dead
H1    tweezer_top                      1770   2.697   2.782  -0.085  46.9%   48.9%   0.9090  dead
H4    trendline_support_touch           280   2.370   2.555  -0.185  48.9%   48.8%   0.9115  dead
M15   pwh_touch                         433   2.337   2.508  -0.171  43.9%   47.3%   0.9120  dead
M15   bear_engulfing                   6197   2.318   2.375  -0.057  45.3%   46.7%   0.9445  dead
H4    pdl_touch                         466   2.396   2.577  -0.180  48.1%   46.4%   0.9510  dead
H1    bear_flag_breakout                228   2.322   2.591  -0.269  47.8%   46.1%   0.9570  dead
H1    sr_flip_resistance               1077   2.332   2.457  -0.126  48.0%   47.6%   0.9570  dead
M15   bearish_ob_touch                  987   2.469   2.643  -0.174  47.0%   49.1%   0.9595  dead
